Date,Open,High,Low,Close,Adj Close,Volume
2018-01-31,10.610000,10.610000,10.610000,10.610000,10.610000,0
2018-02-01,10.570000,10.570000,10.570000,10.570000,10.570000,0
2018-02-02,10.540000,10.540000,10.540000,10.540000,10.540000,0
2018-02-05,10.590000,10.590000,10.590000,10.590000,10.590000,0
2018-02-06,10.560000,10.560000,10.560000,10.560000,10.560000,0
2018-02-07,10.530000,10.530000,10.530000,10.530000,10.530000,0
2018-02-08,10.530000,10.530000,10.530000,10.530000,10.530000,0
2018-02-09,10.510000,10.510000,10.510000,10.510000,10.510000,0
2018-02-12,10.510000,10.510000,10.510000,10.510000,10.510000,0
2018-02-13,10.510000,10.510000,10.510000,10.510000,10.510000,0
2018-02-14,10.470000,10.470000,10.470000,10.470000,10.470000,0
2018-02-15,10.480000,10.480000,10.480000,10.480000,10.480000,0
2018-02-16,10.490000,10.490000,10.490000,10.490000,10.490000,0
